timestamp,localized,ax,ay,az,gx,gy,gz
1686782914039,2023-06-14T15:48:34.039(UTC-07:00),-2671,5591,-6961,126,-178,5
1686782914049,2023-06-14T15:48:34.049(UTC-07:00),-2683,5612,-7002,139,-179,-4
1686782914060,2023-06-14T15:48:34.060(UTC-07:00),-2766,5639,-7009,161,-176,-5
1686782914070,2023-06-14T15:48:34.070(UTC-07:00),-2737,5587,-6954,178,-163,12
1686782914081,2023-06-14T15:48:34.081(UTC-07:00),-2729,5565,-6996,173,-154,15
1686782914091,2023-06-14T15:48:34.091(UTC-07:00),-2759,5553,-7078,143,-156,23
1686782914102,2023-06-14T15:48:34.102(UTC-07:00),-2740,5585,-6996,112,-161,29
1686782914112,2023-06-14T15:48:34.112(UTC-07:00),-2706,5579,-7073,74,-170,32
1686782914123,2023-06-14T15:48:34.123(UTC-07:00),-2772,5593,-7136,52,-181,34
1686782914133,2023-06-14T15:48:34.133(UTC-07:00),-2717,5595,-7011,34,-198,31
1686782914144,2023-06-14T15:48:34.144(UTC-07:00),-2754,5666,-7012,46,-204,36
1686782914155,2023-06-14T15:48:34.155(UTC-07:00),-2707,5645,-7108,70,-192,41
1686782914166,2023-06-14T15:48:34.166(UTC-07:00),-2745,5607,-6952,110,-181,47
1686782914177,2023-06-14T15:48:34.177(UTC-07:00),-2723,5581,-7001,144,-171,47
1686782914189,2023-06-14T15:48:34.189(UTC-07:00),-2713,5585,-6998,169,-168,38
1686782914200,2023-06-14T15:48:34.200(UTC-07:00),-2747,5581,-7022,166,-171,36
1686782914211,2023-06-14T15:48:34.211(UTC-07:00),-2735,5561,-7056,150,-178,28
1686782914222,2023-06-14T15:48:34.222(UTC-07:00),-2705,5567,-7082,124,-184,31
1686782914234,2023-06-14T15:48:34.234(UTC-07:00),-2752,5592,-6970,87,-193,31
1686782914245,2023-06-14T15:48:34.245(UTC-07:00),-2719,5586,-7017,71,-199,37
1686782914256,2023-06-14T15:48:34.256(UTC-07:00),-2729,5626,-7063,58,-204,37
1686782914267,2023-06-14T15:48:34.267(UTC-07:00),-2708,5579,-6940,57,-200,29
1686782914279,2023-06-14T15:48:34.279(UTC-07:00),-2729,5602,-6983,66,-203,18
1686782914290,2023-06-14T15:48:34.290(UTC-07:00),-2732,5621,-7027,82,-201,9
1686782914301,2023-06-14T15:48:34.301(UTC-07:00),-2741,5623,-7012,105,-196,8
1686782914312,2023-06-14T15:48:34.312(UTC-07:00),-2693,5613,-7045,129,-197,5
1686782914324,2023-06-14T15:48:34.324(UTC-07:00),-2738,5636,-7028,154,-190,7
1686782914335,2023-06-14T15:48:34.335(UTC-07:00),-2708,5620,-6965,174,-178,15
1686782914346,2023-06-14T15:48:34.346(UTC-07:00),-2722,5605,-7055,189,-173,29
1686782914357,2023-06-14T15:48:34.357(UTC-07:00),-2677,5548,-7057,175,-174,43
1686782914369,2023-06-14T15:48:34.369(UTC-07:00),-2663,5543,-7022,153,-175,46
1686782914377,2023-06-14T15:48:34.377(UTC-07:00),-2672,5589,-7050,141,-183,44
1686782914385,2023-06-14T15:48:34.385(UTC-07:00),-2735,5532,-7062,120,-184,50
1686782914393,2023-06-14T15:48:34.393(UTC-07:00),-2686,5582,-7061,108,-175,59
1686782914402,2023-06-14T15:48:34.402(UTC-07:00),-2746,5577,-6989,97,-178,62
1686782914410,2023-06-14T15:48:34.410(UTC-07:00),-2739,5621,-7032,92,-174,61
1686782914418,2023-06-14T15:48:34.418(UTC-07:00),-2739,5617,-7073,102,-170,52
1686782914426,2023-06-14T15:48:34.426(UTC-07:00),-2753,5641,-7015,122,-167,42
1686782914435,2023-06-14T15:48:34.435(UTC-07:00),-2785,5652,-6990,138,-165,22
1686782914443,2023-06-14T15:48:34.443(UTC-07:00),-2755,5570,-6996,140,-163,14
1686782914451,2023-06-14T15:48:34.451(UTC-07:00),-2784,5630,-7052,142,-169,14
1686782914459,2023-06-14T15:48:34.459(UTC-07:00),-2723,5581,-7002,119,-182,14
1686782914468,2023-06-14T15:48:34.468(UTC-07:00),-2763,5576,-7035,90,-198,16
1686782914476,2023-06-14T15:48:34.476(UTC-07:00),-2694,5592,-7067,73,-206,19
1686782914484,2023-06-14T15:48:34.484(UTC-07:00),-2727,5604,-7023,66,-215,30
1686782914492,2023-06-14T15:48:34.492(UTC-07:00),-2742,5640,-7028,75,-216,32
1686782914501,2023-06-14T15:48:34.501(UTC-07:00),-2760,5598,-6965,82,-214,34
1686782914509,2023-06-14T15:48:34.509(UTC-07:00),-2724,5631,-6966,100,-207,33
1686782914517,2023-06-14T15:48:34.517(UTC-07:00),-2698,5614,-6962,118,-194,29
1686782914525,2023-06-14T15:48:34.525(UTC-07:00),-2737,5587,-7008,126,-195,26
1686782914534,2023-06-14T15:48:34.534(UTC-07:00),-2682,5597,-7015,134,-189,24
1686782914544,2023-06-14T15:48:34.544(UTC-07:00),-2660,5605,-7037,130,-184,24
1686782914555,2023-06-14T15:48:34.555(UTC-07:00),-2734,5600,-7104,128,-184,22
1686782914565,2023-06-14T15:48:34.565(UTC-07:00),-2711,5613,-7051,114,-185,24
1686782914576,2023-06-14T15:48:34.576(UTC-07:00),-2683,5588,-7097,110,-190,22
1686782914586,2023-06-14T15:48:34.586(UTC-07:00),-2691,5619,-7104,115,-188,23
1686782914597,2023-06-14T15:48:34.597(UTC-07:00),-2664,5608,-6992,110,-186,22
1686782914607,2023-06-14T15:48:34.607(UTC-07:00),-2779,5617,-7052,115,-190,19
1686782914618,2023-06-14T15:48:34.618(UTC-07:00),-2739,5590,-6976,123,-197,15
1686782914628,2023-06-14T15:48:34.628(UTC-07:00),-2743,5561,-7037,138,-197,4
1686782914639,2023-06-14T15:48:34.639(UTC-07:00),-2728,5571,-7037,154,-199,-3
1686782914649,2023-06-14T15:48:34.649(UTC-07:00),-2724,5569,-7114,151,-208,1
1686782914660,2023-06-14T15:48:34.660(UTC-07:00),-2782,5562,-6952,138,-206,8
1686782914670,2023-06-14T15:48:34.670(UTC-07:00),-2744,5567,-7047,140,-203,23
1686782914681,2023-06-14T15:48:34.681(UTC-07:00),-2712,5540,-7005,137,-188,45
1686782914691,2023-06-14T15:48:34.691(UTC-07:00),-2787,5571,-7037,114,-180,43
1686782914702,2023-06-14T15:48:34.702(UTC-07:00),-2733,5524,-7023,92,-177,42
1686782914712,2023-06-14T15:48:34.712(UTC-07:00),-2746,5563,-7069,62,-179,41
1686782914723,2023-06-14T15:48:34.723(UTC-07:00),-2698,5642,-6936,38,-195,29
1686782914733,2023-06-14T15:48:34.733(UTC-07:00),-2737,5598,-7016,25,-205,13
1686782914744,2023-06-14T15:48:34.744(UTC-07:00),-2675,5637,-6936,42,-217,4
1686782914753,2023-06-14T15:48:34.753(UTC-07:00),-2735,5631,-7045,79,-205,13
1686782914763,2023-06-14T15:48:34.763(UTC-07:00),-2745,5589,-7022,122,-193,30
1686782914773,2023-06-14T15:48:34.773(UTC-07:00),-2737,5618,-7011,155,-182,35
1686782914783,2023-06-14T15:48:34.783(UTC-07:00),-2740,5515,-6977,168,-179,39
1686782914792,2023-06-14T15:48:34.792(UTC-07:00),-2752,5589,-7010,168,-173,36
1686782914802,2023-06-14T15:48:34.802(UTC-07:00),-2756,5574,-7036,163,-175,37
1686782914812,2023-06-14T15:48:34.812(UTC-07:00),-2755,5528,-7086,157,-182,39
1686782914822,2023-06-14T15:48:34.822(UTC-07:00),-2706,5542,-7060,136,-185,45
1686782914831,2023-06-14T15:48:34.831(UTC-07:00),-2778,5549,-7039,106,-193,53
1686782914841,2023-06-14T15:48:34.841(UTC-07:00),-2695,5531,-6970,87,-198,51
1686782914851,2023-06-14T15:48:34.851(UTC-07:00),-2675,5596,-6952,86,-195,56
1686782914861,2023-06-14T15:48:34.861(UTC-07:00),-2737,5592,-6991,84,-189,60
1686782914870,2023-06-14T15:48:34.870(UTC-07:00),-2671,5558,-7019,72,-188,59
1686782914880,2023-06-14T15:48:34.880(UTC-07:00),-2724,5590,-7014,57,-184,58
1686782914890,2023-06-14T15:48:34.890(UTC-07:00),-2695,5588,-7021,52,-184,56
1686782914900,2023-06-14T15:48:34.900(UTC-07:00),-2723,5610,-6978,63,-181,36
1686782914909,2023-06-14T15:48:34.909(UTC-07:00),-2713,5644,-6999,90,-169,26
1686782914919,2023-06-14T15:48:34.919(UTC-07:00),-2741,5630,-7062,125,-159,25
1686782914929,2023-06-14T15:48:34.929(UTC-07:00),-2709,5661,-7044,160,-152,27
1686782914939,2023-06-14T15:48:34.939(UTC-07:00),-2723,5656,-7053,181,-152,28
1686782914949,2023-06-14T15:48:34.949(UTC-07:00),-2744,5680,-7075,191,-157,28
1686782914960,2023-06-14T15:48:34.960(UTC-07:00),-2683,5637,-7082,209,-168,37
1686782914970,2023-06-14T15:48:34.970(UTC-07:00),-2686,5588,-7060,214,-171,46
1686782914981,2023-06-14T15:48:34.981(UTC-07:00),-2671,5561,-7074,193,-179,52
1686782914991,2023-06-14T15:48:34.991(UTC-07:00),-2712,5530,-7024,153,-195,58
1686782915002,2023-06-14T15:48:35.002(UTC-07:00),-2732,5529,-7001,104,-202,55
1686782915012,2023-06-14T15:48:35.012(UTC-07:00),-2735,5494,-7024,70,-207,46
1686782915023,2023-06-14T15:48:35.023(UTC-07:00),-2747,5542,-6916,48,-205,46
1686782915033,2023-06-14T15:48:35.033(UTC-07:00),-2720,5497,-6946,43,-190,40
1686782915044,2023-06-14T15:48:35.044(UTC-07:00),-2731,5575,-6948,55,-181,45
1686782915054,2023-06-14T15:48:35.054(UTC-07:00),-2766,5587,-6991,83,-172,46
1686782915065,2023-06-14T15:48:35.065(UTC-07:00),-2739,5622,-7046,94,-164,56
1686782915075,2023-06-14T15:48:35.075(UTC-07:00),-2776,5621,-7008,117,-161,63
1686782915086,2023-06-14T15:48:35.086(UTC-07:00),-2719,5618,-7061,132,-162,68
1686782915096,2023-06-14T15:48:35.096(UTC-07:00),-2721,5670,-7058,153,-165,72
1686782915107,2023-06-14T15:48:35.107(UTC-07:00),-2703,5644,-7101,172,-162,70
1686782915117,2023-06-14T15:48:35.117(UTC-07:00),-2746,5640,-7066,173,-163,67
1686782915128,2023-06-14T15:48:35.128(UTC-07:00),-2716,5614,-7117,187,-162,73
1686782915138,2023-06-14T15:48:35.138(UTC-07:00),-2687,5609,-7078,190,-160,60
1686782915149,2023-06-14T15:48:35.149(UTC-07:00),-2696,5580,-7134,165,-178,54
1686782915159,2023-06-14T15:48:35.159(UTC-07:00),-2698,5579,-7131,134,-191,45
1686782915170,2023-06-14T15:48:35.170(UTC-07:00),-2678,5545,-7117,111,-199,42
1686782915180,2023-06-14T15:48:35.180(UTC-07:00),-2705,5568,-7069,93,-211,37
1686782915191,2023-06-14T15:48:35.191(UTC-07:00),-2715,5575,-7069,88,-208,32
1686782915201,2023-06-14T15:48:35.201(UTC-07:00),-2700,5555,-7022,97,-209,37
1686782915212,2023-06-14T15:48:35.212(UTC-07:00),-2671,5573,-7013,105,-207,44
1686782915222,2023-06-14T15:48:35.222(UTC-07:00),-2726,5578,-6967,106,-209,48
1686782915233,2023-06-14T15:48:35.233(UTC-07:00),-2724,5600,-7028,123,-190,50
1686782915243,2023-06-14T15:48:35.243(UTC-07:00),-2694,5606,-7037,141,-178,50
1686782915254,2023-06-14T15:48:35.254(UTC-07:00),-2707,5610,-6974,141,-175,41
1686782915264,2023-06-14T15:48:35.264(UTC-07:00),-2690,5664,-7059,146,-172,36
